SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
,Electrical,X001SKBL2X,,RJ45 ETHERNET CONNECTOR BREAKOUT BOARD,,5/26/2021,,1, Bad Part? , $-   ,R1-6-4
EATON,,E22NS36,,LEGEND PLATE,,6/15/2021,,2, Bad Part? , $-   ,R1-6-4
IFM,Electrical,E33209,86189124,"ADAPT IFM-CLAMP 2"" 3A",,9/13/2022,,3,$62 ,$185 ,R1-6-4
HAYWARD,Mechanical,BFA3005TES,,"1/2"" BF ST D FLG TXT PPL EPDM",,5/26/2021,,1,, $-   ,R1-6-5
SMC,Electrical,KQ2H11-37NS,,"3/8"" PUSH FITTING (ONE SIDE THREADED)",,5/26/2021,,9,, $-   ,R1-6-5
Weidmuller,Electrical,1896120000,,Terminal Block,,3/16/2021,,82,, $-   ,R2-1-1
Weidmuller,Electrical,1896110000,,Terminal Block,,3/16/2021,,57,, $-   ,R2-1-1
AB,Electrical,1492-PSG2-4,,Terminal Block,,3/16/2021,,100,0.99,$99 ,R2-1-1
HEYCO PRODUCTS,Electrical,M3234GBH,,Liquid Tight Cord Grip,,3/16/2021,,33,, $-   ,R2-1-1
AB,Electrical,1492-P2Q,,Terminal Blocks,,3/17/2021,,178,2.09,$372 ,R2-1-2
AB,Electrical,1492-EBP2Q,,End Barriers,,3/17/2021,,47,0.56,$26 ,R2-1-2
AB,Electrical,700-HN205,,11 Pin Socket,,3/17/2021,,4,9.38,$38 ,R2-1-2
Turck,Electrical,RKM 36-2-AC PWR MALE,,Power Cord,,3/17/2021,,1,, $-   ,R2-1-2
AB,Electrical,1769-ECR,,Compact I/O Right End Cap/Terminator,,3/16/2021,,6,37.56,$225 ,R2-1-3
AB,Electrical,1492-PD3,,Terminal Blocks,,3/17/2021,,153,Bad Part?, $-   ,R2-1-3
WOLSELEY,Mechanical,WWSSCV14,,SS Thrd Inline Chk Vlv,,3/17/2021,,6,, $-   ,R2-2-1
WOLSELEY,Mechanical,?,,"1"" TC-316 Stainless Steel Tee Pipe Fitting",,3/17/2021,,5,, $-   ,R2-2-1
HUBBELL,Electrical,PS0759NGY,,CONDUIT FITTINGS SWIVEL,,5/10/2021,,6,, $-   ,R2-2-2
AB,Electrical,800H-QR24R,,Indicating Light,,3/30/2021,,1,$60 ,$60 ,R2-2-2
AB,Electrical,800H-QRB24R,,Puch Button ,,3/30/2021,,1,$60 ,$60 ,R2-2-2
AB,Electrical,1585J-M8CBJM-1,,ETHERNET CABLE,,4/20/2021,,1,$22 ,$22 ,R2-2-3
AB,Electrical,1606-XLE120E-2,,Power Supply,,4/20/2021,,1,$175 ,$175 ,R2-2-3
IFM,Electrical,EVT001,,,,9/15/2022,,1,$16 ,$16 ,R2-2-3
IFM,Electrical,EVF445,,CYJV/7 CABLE,,4/20/2021,,1,$32 ,$32 ,R2-2-3
IFM,Electrical,EVF048,,CYJV/7 CABLE,,4/20/2021,,2,$30 ,$60 ,R2-2-3
IFM,Electrical,EVF050,,CYJV/7 CABLE,,4/20/2021,,1,$33 ,$33 ,R2-2-3
IFM,Electrical,EVT001,,ADOGH040VAS0005E04,,9/7/2022,,1,$16 ,$16 ,R2-2-3
Nibco,Mechanical,,,1/2 PVC T/U BALL CHK VLV,,3/17/2021,,1,, $-   ,R2-3-1
Hope,Electrical,CDVI-06,,CDVI-06,,3/31/2021,,1,, $-   ,R2-3-1
AB,Electrical,1492-J4,8310-3040,Terminal Blocks  SER A,,5/25/2021,,100,$1 ,$82 ,R2-3-2
AB,Electrical,1492-J4-G,8310-3052,Terminal Blocks  SER A,,5/25/2021,,100,$1 ,$82 ,R2-3-2
